year,month,str
1980,9,37.93999863
1981,4,149.5
1981,8,37.04999924
1981,12,149.5
1981,2,149.5
1981,1,149.5
1981,7,44.59999847
1981,6,77.69999695
1981,3,149.5
1981,5,149.5
1981,11,149.5
1981,10,149.5
1981,9,69.73999786
1982,4,149.5
1982,8,41.52999878
1982,12,149.5
1982,2,149.5
1982,1,149.5
1982,7,46.34000015
1982,6,98.08999634
1982,3,149.5
1982,5,149.5
1982,11,149.5
1982,10,149.5
1982,9,149.5
1983,4,149.5
1983,8,45.59999847
1983,12,149.5
1983,2,149.5
1983,1,149.5
1983,7,57.24000168
1983,6,149.5
1983,3,149.5
1983,5,149.5
1983,11,149.5
1983,10,149.5
1983,9,111.5
1984,4,149.5
1984,8,56.36000061
1984,12,149.5
1984,2,149.5
1984,1,149.5
1984,7,46.13000107
1984,6,105.9499969
1984,3,149.5
1984,5,149.5
1984,11,149.5
1984,10,149.5
1984,9,56
1985,4,149.5
1985,8,40.04000092
1985,12,149.5
1985,2,149.5
1985,1,149.5
1985,7,40.27000046
1985,6,46.40999985
1985,3,149.5
1985,5,92.5
1985,11,149.5
1985,10,149.5
1985,9,109.7099991
1986,4,149.5
1986,8,37.09000015
1986,12,149.5
1986,2,149.5
1986,1,149.5
1986,7,44.70999908
1986,6,72.29000092
1986,3,149.5
1986,5,144.25
1986,11,149.5
1986,10,149.5
1986,9,149.5
1987,4,149.5
1987,8,38.15999985
1987,12,149.5
1987,2,149.5
1987,1,149.5
1987,7,45.61000061
1987,6,83.27999878
1987,3,149.5
1987,5,149.5
1987,11,149.5
1987,10,83.44999695
1987,9,32.66999817
1988,4,149.5
1988,8,37.86000061
1988,12,149.5
1988,2,149.5
1988,1,149.5
1988,7,45.43000031
1988,6,92.95999908
1988,3,149.5
1988,5,149.5
1988,11,149.5
1988,10,35.79000092
1988,9,37.79000092
1989,4,149.5
1989,8,76.41999817
1989,12,147.0899963
1989,2,149.5
1989,1,149.5
1989,7,44.45999908
1989,6,73.45999908
1989,3,149.5
1989,5,123.3300018
1989,11,149.5
1989,10,149.5
1989,9,134.5299988
1990,4,149.5
1990,8,42.34000015
1990,12,149.5
1990,2,149.5
1990,1,149.5
1990,7,45.40999985
1990,6,88.08000183
1990,3,149.5
1990,5,149.5
1990,11,131.3600006
1990,10,79.61000061
1990,9,64.08000183
1991,4,149.5
1991,8,63.16999817
1991,12,149.5
1991,2,149.5
1991,1,149.5
1991,7,46.34999847
1991,6,109.9300003
1991,3,149.5
1991,5,149.5
1991,11,149.5
1991,10,149.5
1991,9,46.97999954
1992,4,149.5
1992,8,39.38999939
1992,12,149.5
1992,2,149.5
1992,1,149.5
1992,7,45.61000061
1992,6,85.31999969
1992,3,149.5
1992,5,87.43000031
1992,11,149.5
1992,10,149.5
1992,9,34.61999893
1993,4,149.5
1993,8,46.27999878
1993,12,149.5
1993,2,149.5
1993,1,149.5
1993,7,69.59999847
1993,6,147.8099976
1993,3,149.5
1993,5,149.5
1993,11,149.5
1993,10,118.25
1993,9,42.47000122
1994,4,149.5
1994,8,37.25999832
1994,12,149.5
1994,2,149.5
1994,1,149.5
1994,7,44.81999969
1994,6,85.08000183
1994,3,149.5
1994,5,149.5
1994,11,149.5
1994,10,86.98000336
1994,9,64.58999634
1995,4,149.5
1995,8,41.24000168
1995,12,149.5
1995,2,149.5
1995,1,149.5
1995,7,48.68000031
1995,6,149.5
1995,3,149.5
1995,5,149.5
1995,11,64.83999634
1995,10,32.15000153
1995,9,35.61000061
1996,4,149.5
1996,8,38.90000153
1996,12,149.5
1996,2,149.5
1996,1,149.5
1996,7,45.31000137
1996,6,90.16000366
1996,3,149.5
1996,5,149.5
1996,11,149.5
1996,10,129.7700043
1996,9,69.20999908
1997,4,149.5
1997,8,62.77999878
1997,12,149.5
1997,2,149.5
1997,1,149.5
1997,7,46.86999893
1997,6,115.6800003
1997,3,149.5
1997,5,149.5
1997,11,149.5
1997,10,149.5
1997,9,62.45000076
1998,4,149.5
1998,8,45.25
1998,12,149.5
1998,2,149.5
1998,1,149.5
1998,7,68.58999634
1998,6,149.5
1998,3,149.5
1998,5,149.5
1998,11,149.5
1998,10,133.9700012
1998,9,99.81999969
1999,4,149.5
1999,8,55.90000153
1999,12,149.5
1999,2,149.5
1999,1,149.5
1999,7,45.70999908
1999,6,92.69000244
1999,3,149.5
1999,5,149.5
1999,11,149.5
1999,10,126.7300034
1999,9,46.61999893
2000,4,149.5
2000,8,38.25
2000,12,149.5
2000,2,149.5
2000,1,149.5
2000,7,45.77999878
2000,6,95.62999725
2000,3,149.5
2000,5,149.5
2000,11,149.5
2000,10,149.5
2000,9,82.87999725
2001,4,149.5
2001,8,30.40999985
2001,12,149.5
2001,2,149.5
2001,1,149.5
2001,7,38.02999878
2001,6,46.24000168
2001,3,149.5
2001,5,89.23999786
2001,11,149.5
2001,10,90.68000031
2001,9,42.18000031
2002,4,149.5
2002,8,36.77999878
2002,12,149.5
2002,2,149.5
2002,1,149.5
2002,7,44.29999924
2002,6,76.36000061
2002,3,149.5
2002,5,149.5
2002,11,149.5
2002,10,28.30999947
2002,9,31.70000076
2003,4,149.5
2003,8,80.70999908
2003,12,149.5
2003,2,149.5
2003,1,149.5
2003,7,44.24000168
2003,6,75.75
2003,3,149.5
2003,5,149.5
2003,11,149.5
2003,10,58.36999893
2003,9,54.33000183
2004,4,149.5
2004,8,31.45999908
2004,12,149.5
2004,2,149.5
2004,1,149.5
2004,7,38.97000122
2004,6,47.29000092
2004,3,149.5
2004,5,117.8000031
2004,11,149.5
2004,10,149.5
2004,9,35.66999817
2005,4,149.5
2005,8,44.97000122
2005,12,149.5
2005,2,149.5
2005,1,149.5
2005,7,63.61000061
2005,6,147.8899994
2005,3,149.5
2005,5,149.5
2005,11,149.5
2005,10,107.7799988
2005,9,58.86999893
2006,4,149.5
2006,8,36.91999817
2006,12,149.5
2006,2,149.5
2006,1,149.5
2006,7,44.29000092
2006,6,77.66000366
2006,3,149.5
2006,5,149.5
2006,11,149.5
2006,10,46.68000031
2006,9,31.94000053
2007,4,149.5
2007,8,38.70999908
2007,12,149.5
2007,2,149.5
2007,1,149.5
2007,7,44.90999985
2007,6,85.69999695
2007,3,149.5
2007,5,135.1699982
2007,11,149.5
2007,10,149.5
