year,month,ppt
2000,12,100.2799988
2000,2,607.1400146
2000,1,467.3699951
2000,7,0
2000,6,19.77000046
2000,3,130.6799927
2000,5,104.5800018
2000,11,47.29999924
2000,10,157.0599976
2000,9,44.63000107
2001,4,151.1100006
2001,8,0
2001,12,513.25
2001,2,258.1600037
2001,1,154.9100037
2001,7,0.439999998
2001,6,8.409999847
2001,3,112.2799988
2001,5,8.229999542
2001,11,289.9500122
2001,10,48.5
2001,9,17.44000053
2002,4,86.48999786
2002,8,0
2002,12,582.1400146
2002,2,141.9400024
2002,1,180.0899963
2002,7,0.01
2002,6,0
2002,3,260.019989
2002,5,63.22000122
2002,11,246.9799957
2002,10,0
2002,9,0.560000002
2003,4,364.7399902
2003,8,36.47000122
2003,12,524.9400024
2003,2,102.3700027
2003,1,175.5099945
2003,7,0.810000002
2003,6,0.02
2003,3,205.6100006
2003,5,78.83000183
2003,11,138.9900055
2003,10,5.289999962
2003,9,4.800000191
2004,4,53.49000168
2004,8,0
2004,12,297.0499878
2004,2,370.3999939
2004,1,182.5200043
2004,7,0.439999998
2004,6,2.079999924
2004,3,51.50999832
2004,5,30.31999969
2004,11,107.1999969
2004,10,214.3099976
2004,9,9.760000229
2005,4,132.9600067
2005,8,0.189999998
2005,12,825.0999756
2005,2,148.1100006
2005,1,298.9299927
2005,7,0
2005,6,90.34999847
2005,3,362.0100098
2005,5,280.519989
2005,11,162.0399933
2005,10,51.91999817
