year,month,cwd
1956,5,48.56999969
1956,11,26.81999969
1956,10,58.88000107
1956,9,110.3000031
1957,4,52.77999878
1957,8,143.8000031
1957,12,17.22999954
1957,2,21.25
1957,1,13.43999958
1957,7,142.1699982
1957,6,88.48999786
1957,3,25.26000023
1957,5,47.27999878
1957,11,24.46999931
1957,10,51.52999878
1957,9,110.5
1958,4,41.81000137
1958,8,153.1999969
1958,12,18.90999985
1958,2,20.20999908
1958,1,15.48999977
1958,7,109.2799988
1958,6,57.61000061
1958,3,20.88999939
1958,5,73.83999634
1958,11,27.52000046
1958,10,65.62000275
1958,9,111.5999985
1959,4,62.90999985
1959,8,147.1999969
1959,12,17.70999908
1959,2,18.87999916
1959,1,14.52000046
1959,7,157.5800018
1959,6,88.72000122
1959,3,35.36999893
1959,5,68.86000061
1959,11,28.68000031
1959,10,58.52000046
1959,9,106.1999969
1960,4,56.66999817
1960,8,148.5
1960,12,16.96999931
1960,2,19.14999962
1960,1,13.02999973
1960,7,153.3800049
1960,6,91.12999725
1960,3,24.37999916
1960,5,69.34999847
1960,11,26.87000084
1960,10,66.69999695
1960,9,113.1999969
1961,4,58.08000183
1961,8,149.1000061
1961,12,16.35000038
1961,2,23.37000084
1961,1,17.09000015
1961,7,127.7399979
1961,6,90.62999725
1961,3,31.67000008
1961,5,64.86000061
1961,11,24.70999908
1961,10,62.02000046
1961,9,91.33999634
1962,4,59.61000061
1962,8,145.6999969
1962,12,18.20000076
1962,2,18.47999954
1962,1,16
1962,7,140.4499969
1962,6,85.95999908
1962,3,21.28000069
1962,5,68.09999847
1962,11,26.12000084
1962,10,62.81000137
1962,9,110.1200027
1963,4,37.72000122
1963,8,144
1963,12,17.67000008
1963,2,25.03000069
1963,1,15.77000046
1963,7,125.8000031
1963,6,57.22999954
1963,3,28.48999977
1963,5,48.86000061
1963,11,23.06999969
1963,10,60.54000092
1963,9,110.5999985
1964,4,55.81999969
1964,8,147.8000031
1964,12,15.46000004
1964,2,23.37000084
1964,1,14.43000031
1964,7,108.3000031
1964,6,56.45999908
1964,3,31.32999992
1964,5,46.09999847
1964,11,22.37000084
1964,10,71
1964,9,107.6999969
1965,4,42.13999939
1965,8,143.5
1965,12,15.55000019
1965,2,23.59000015
1965,1,13.85999966
1965,7,125.6100006
1965,6,59.02000046
1965,3,33.34999847
1965,5,70.26999664
1965,11,23.70999908
1965,10,61.56999969
1965,9,68.76000214
1966,4,61.63000107
1966,8,150.5
1966,12,15.98999977
1966,2,20.63999939
1966,1,14.52999973
1966,7,167.6999969
1966,6,97.56999969
1966,3,33.18000031
1966,5,76.54000092
1966,11,29.29999924
1966,10,68.30000305
1966,9,108.5999985
1967,4,33.99000168
1967,8,137.9900055
1967,12,15.38000011
1967,2,24.20000076
1967,1,14.06999969
1967,7,92.73999786
1967,6,57.29999924
1967,3,22.28000069
1967,5,70.80999756
1967,11,27.04000092
1967,10,61.79000092
1967,9,112.0999985
1968,4,58.20000076
1968,8,139.6999969
1968,12,14.10999966
1968,2,24.25
1968,1,14.90999985
1968,7,152.7100067
1968,6,89.26000214
1968,3,33.86000061
1968,5,70.63999939
1968,11,23.56999969
1968,10,55.68000031
1968,9,72.86000061
1969,4,55.56999969
1969,8,130.9299927
1969,12,16.20999908
1969,2,17.28000069
1969,1,13.17000008
1969,7,90.91999817
1969,6,83.20999908
1969,3,31.94000053
1969,5,74.80999756
1969,11,27.25
1969,10,62.09999847
1969,9,111.3000031
1970,4,53.06999969
1970,8,149.8999939
1970,12,14.10999966
1970,2,24.20000076
1970,1,13.85999966
1970,7,134.5800018
1970,6,59.77999878
1970,3,33.75
1970,5,74
1970,11,24.01000023
1970,10,65.19999695
1970,9,108.5999985
1971,4,54.40999985
1971,8,150.8000031
1971,12,14.02999973
1971,2,22.84000015
