year,month,tmx
1992,10,20.67000008
1992,9,25.98999977
1993,4,12.65999985
1993,8,26.28000069
1993,12,7.409999847
1993,2,5.730000019
1993,1,5.159999847
1993,7,25.01000023
1993,6,21.19000053
1993,3,11.81999969
1993,5,18.04000092
1993,11,12.72999954
1993,10,19.29999924
1993,9,25.29999924
1994,4,14.82999992
1994,8,28.64999962
1994,12,6.599999905
1994,2,6.119999886
1994,1,9.56000042
1994,7,29.37000084
1994,6,23.70000076
1994,3,13.47000027
1994,5,17.79999924
1994,11,6.150000095
1994,10,17.81999969
1994,9,25.02000046
1995,4,11.59000015
1995,8,27.47999954
1995,12,7.900000095
1995,2,13.98999977
1995,1,5.119999886
1995,7,25.60000038
1995,6,20.39999962
1995,3,7.75
1995,5,14.78999996
1995,11,15.82999992
1995,10,21.56999969
1995,9,25.43000031
1996,4,14.43000031
1996,8,28.86000061
1996,12,6.929999828
1996,2,8.619999886
1996,1,7.989999771
1996,7,29.18000031
1996,6,23.81999969
1996,3,11.48999977
1996,5,17.44000053
1996,11,12.03999996
1996,10,17.96999931
1996,9,23.5
1997,4,13.90999985
1997,8,26.45000076
1997,12,7.489999771
1997,2,10.07999992
1997,1,7.349999905
1997,7,26.53000069
1997,6,21.98999977
1997,3,14.11999989
1997,5,21.44000053
1997,11,10.77999973
1997,10,17.20000076
1997,9,24.09000015
1998,4,10.31000042
1998,8,29.29000092
1998,12,7.449999809
1998,2,3.710000038
1998,1,5.849999905
1998,7,27.93000031
1998,6,19.79999924
1998,3,10.03999996
1998,5,10.94999981
1998,11,8.470000267
1998,10,16.48999977
1998,9,23.20000076
1999,4,11.31999969
1999,8,25.69000053
1999,12,10.76000023
1999,2,6.309999943
1999,1,8.68999958
1999,7,26.90999985
1999,6,22.37000084
1999,3,8.220000267
1999,5,17.95000076
1999,11,13.53999996
1999,10,22.80999947
1999,9,26.60000038
2000,4,15.15999985
2000,8,27.95999908
2000,12,10.65999985
2000,2,7.269999981
2000,1,7.150000095
2000,7,25.71999931
2000,6,25.37000084
2000,3,11.18999958
2000,5,18.31999969
2000,11,9.970000267
2000,10,16.95999908
2000,9,23.05999947
2001,4,11.60999966
2001,8,29.12999916
2001,12,5.579999924
2001,2,6.269999981
2001,1,8.539999962
2001,7,27.40999985
2001,6,24.54000092
2001,3,13.44999981
2001,5,24.11000061
2001,11,11.72999954
2001,10,22.12999916
2001,9,26.26000023
2002,4,14.64999962
2002,8,28.23999977
2002,12,6.300000191
2002,2,11.48999977
2002,1,7.25
2002,7,29.78000069
