"","Population","treatment","mf","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","OHI3M","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","logindoles"
"123","SQ2","CW",9,19.69787,0,0,748.843445,14.67161,23.01941,13.407805,4.463555,0,3.95875,12.687055,11.476135,6.731195,17.58741,8.446055,828.062445,19.92219,847.984635,1.22845918521643
"124","SQ2","CW",12,14.696405,19.136145,8.264185,307.91026,17.122115,226.246825,0,0,7.215185,10.122155,20.895945,122.91984,22.42253,60.331025,8.960245,603.49809,139.09527,742.59336,1.70801104991429
"125","SQ2","CW",14,47.003935,0,0,1085.090425,33.538575,13.501085,4.86088,11.819575,0,0,39.07312,33.5825,22.803425,58.624025,11.51321,1195.814475,45.09571,1240.910185,1.65225671598131
"126","SQ2","CW",15,76.489755,0,0,730.393735,42.34972,0,8.547335,7.632685,0,0,22.00215,111.737855,8.301345,33.31865,4.836685,865.41323,116.57454,981.98777,2.02262959404805
"127","SQ2","CW",17,38.98315,0,0,97.11104,0,52.45895,39.98735,0,0,0,9.68906,16.04176,0,63.89079,56.08852,228.54049,72.13028,300.67077,1.85811761806583
"128","SQ2","CW",18,0,0,0,741.13998,0,77.507925,21.782065,13.29156,8.20543,3.4214,15.40108,273.84844,0,41.760715,4.50103,857.14293,286.5549,1143.69783,2.12931263855929
"129","SQ2","CW",20,16.17048,28.117365,0,1296.835235,26.40389,146.929295,3.93886,22.45608,38.814515,10.00916,32.116125,258.72312,6.03302,43.06314,8.326975,1550.860365,305.86461,1856.724975,2.48514798288633
"130","TFC","C",2,45.169345,0,39.04708,53.13191,0,140.954505,10.8401,0,0,0,14.0899,109.503865,0,24.01097,30.45387,289.14294,139.957735,429.100675,2.13191883865598
"131","TFC","C",3,64.539625,0,7.40086,471.9705,10.429955,44.62031,0,0,0,5.617715,28.97339,102.208135,0,87.82279,9.68093,604.578965,111.889065,716.46803,2.04842729123506
"132","TFC","CW",1,16.99352,0,27.65107,112.77805,0,416.3038,29.85018,0,0,23.95439,9.16117,74.94034,0,68.96446,38.56384,627.53101,113.50418,741.03519,2.05501185551599
