"","Control_3MSO_5.2","Control_OH-Alkenyl_6","Control_4MSO_7.1","Control_Allyl_7.4","Control_5MSO_10.2","Control_Butenyl_12.1","Control_Junk_13","Control_3MT_13.6","Control_MSOO_13.8","Control_OH I3M_15.1","Control_4MT _15.5","Control_Flavonol_16.1","Control_I3M_16.7","Control_Flavonol_17.5","Control_Flavonol_18.5","Control_Junk_18.7","Control_Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year","totalGSL"
"102",74.48711,NA,NA,46.47591,NA,22.2262,NA,66.21845,NA,NA,NA,7.85904,50.15068,NA,15.1502,NA,NA,"RB",20,"C",0.25,787,40.01362,-121.18498,2010,282.56759
"103",30.22823,NA,25.58624,124.60755,NA,382.3923,NA,35.81193,NA,NA,11.39535,15.90685,87.50574,NA,18.08673,NA,NA,"KC2",3,"C",0.47,948.1707317,36.82301,-118.83542,2017,731.52092
"104",48.03829,NA,40.8866,143.43022,NA,300.46194,NA,NA,NA,15.70026,NA,8.2824,24.97082,NA,19.5652,NA,NA,"TM2",10,"C",0.36,379.1526973,39.59255,-121.55072,2020,601.33573
"105",93.3073,NA,NA,394.95715,NA,NA,NA,58.18314,NA,NA,NA,14.12268,18.65785,7.46731,31.13729,NA,35.66153,"SC",18,"C",0.06,421.5178299,38.41167,-120.73583,2021,653.49425
"107",18.15642,NA,27.9973,63.74068,NA,170.48378,NA,NA,NA,NA,NA,18.91762,175.02406,NA,20.62888,NA,NA,"TFC",2,"C",0.18,1085,39.42772,-120.93623,2021,494.94874
"108",52.08759,NA,NA,377.57242,NA,27.89211,NA,25.51298,NA,NA,NA,13.48226,NA,NA,31.55418,NA,41.23057,"SC",7,"C",0.09,421.5178299,38.41167,-120.73583,2021,569.33211
"109",80.24964,NA,45.37529,119.64648,NA,192.77373,NA,39.63194,NA,NA,10.16531,10.19588,37.48035,NA,38.00765,NA,43.34654,"RB",12,"C",0.12,787,40.01362,-121.18498,2010,616.87281
"117",23.99483,NA,22.29828,87.03352,NA,219.73209,NA,12.36876,NA,NA,NA,12.4117,38.94396,NA,28.17769,NA,NA,"DPR",10,"C",0.51,1018.591893,39.22846,-120.81518,2020,444.96083
"119",19.55698,NA,NA,93.97192,NA,162.83417,NA,36.10744,NA,NA,NA,20.51182,226.96419,NA,32.29014,NA,7.79443,"CALO",4,"C",0.15,1117.6,39.19494,-120.77055,2022,600.03109
"120",20.21799,NA,NA,926.49908,32.12833,15.49473,NA,NA,NA,NA,NA,23.98918,23.43798,NA,34.92746,NA,NA,"SQ1",5,"C",0.2,1921.036585,36.56435,-118.7764,2017,1076.69475
"126",NA,NA,16.51841,16.69987,NA,966.85864,NA,62.62608,NA,NA,NA,14.34345,10.0893,NA,33.98424,NA,36.38832,"LV1",14,"C",0.08,2593.416641,40.47471,-121.50486,2018,1157.50831
