"","Population","treatment","compound type","compound","value"
"380","MtSH","CW","GSL","logindoles",1.77033265933568
"381","RB","C","GSL","X3MSO",43.90582
"382","RB","C","GSL","OHAlkenyl",0
"383","RB","C","GSL","X4MSO",19.1274766666667
"384","RB","C","GSL","Allyl",258.078855
"385","RB","C","GSL","X5MSO",0
"386","RB","C","GSL","Butenyl",240.133425
"387","RB","C","GSL","X3MT",33.013035
"388","RB","C","GSL","MSOO",10.3071533333333
"389","RB","C","GSL","OHI3M",0
"390","RB","C","GSL","X4MT",5.88502166666667
"391","RB","C","GSL","Flavonol16",11.532955
"392","RB","C","GSL","I3M",83.699255
"393","RB","C","GSL","Flavonol17",15.7472566666667
"394","RB","C","GSL","Flavonol18",38.0892083333333
"395","RB","C","GSL","Indole",13.486835
"396","RB","C","GSL","totalaliphatic",610.450786666667
"397","RB","C","GSL","totalindole",97.18609
"398","RB","C","GSL","totalGSL",707.636876666667
"399","RB","C","GSL","logindoles",1.78636638420956
"400","RB","CW","GSL","X3MSO",32.8681916666667
"401","RB","CW","GSL","OHAlkenyl",0
"402","RB","CW","GSL","X4MSO",11.2214733333333
"403","RB","CW","GSL","Allyl",94.7126066666667
"404","RB","CW","GSL","X5MSO",2.24528333333333
"405","RB","CW","GSL","Butenyl",129.25648
"406","RB","CW","GSL","X3MT",23.502925
"407","RB","CW","GSL","MSOO",0
"408","RB","CW","GSL","OHI3M",10.1734166666667
"409","RB","CW","GSL","X4MT",0
"410","RB","CW","GSL","Flavonol16",7.66550333333333
"411","RB","CW","GSL","I3M",72.9883366666667
"412","RB","CW","GSL","Flavonol17",0
"413","RB","CW","GSL","Flavonol18",29.9702233333333
"414","RB","CW","GSL","Indole",15.4356766666667
"415","RB","CW","GSL","totalaliphatic",293.80696
"416","RB","CW","GSL","totalindole",98.59743
"417","RB","CW","GSL","totalGSL",392.40439
"418","RB","CW","GSL","logindoles",1.82237402530017
"419","SC","C","GSL","X3MSO",41.15021375
"420","SC","C","GSL","OHAlkenyl",0
"421","SC","C","GSL","X4MSO",0
"422","SC","C","GSL","Allyl",509.2323975
"423","SC","C","GSL","X5MSO",1.978125
"424","SC","C","GSL","Butenyl",8.4272025
"425","SC","C","GSL","X3MT",42.4811625
"426","SC","C","GSL","MSOO",0
"427","SC","C","GSL","OHI3M",0
"428","SC","C","GSL","X4MT",15.2699725
"429","SC","C","GSL","Flavonol16",13.10285625
"430","SC","C","GSL","I3M",15.59676875
"431","SC","C","GSL","Flavonol17",1.96419875
"432","SC","C","GSL","Flavonol18",28.73720375
"433","SC","C","GSL","Indole",29.15620125
"434","SC","C","GSL","totalaliphatic",618.53907375
"435","SC","C","GSL","totalindole",44.75297
"436","SC","C","GSL","totalGSL",663.29204375
"437","SC","C","GSL","logindoles",1.59519247650368
"438","SC","CW","GSL","X3MSO",63.096405
"439","SC","CW","GSL","OHAlkenyl",7.698155
"440","SC","CW","GSL","X4MSO",0
"441","SC","CW","GSL","Allyl",664.14865125
"442","SC","CW","GSL","X5MSO",0
"443","SC","CW","GSL","Butenyl",136.7863925
"444","SC","CW","GSL","X3MT",52.289115
"445","SC","CW","GSL","MSOO",0
"446","SC","CW","GSL","OHI3M",18.876895
"447","SC","CW","GSL","X4MT",4.49222125
"448","SC","CW","GSL","Flavonol16",11.5769775
"449","SC","CW","GSL","I3M",59.134175
"450","SC","CW","GSL","Flavonol17",4.18957125
"451","SC","CW","GSL","Flavonol18",32.50032125
"452","SC","CW","GSL","Indole",8.952395
"453","SC","CW","GSL","totalaliphatic",928.51094
"454","SC","CW","GSL","totalindole",86.963465
"455","SC","CW","GSL","totalGSL",1015.474405
"456","SC","CW","GSL","logindoles",1.83341471581785
"457","SQ1","C","GSL","X3MSO",8.62402875
"458","SQ1","C","GSL","OHAlkenyl",11.16365125
"459","SQ1","C","GSL","X4MSO",0
"460","SQ1","C","GSL","Allyl",634.42140875
"461","SQ1","C","GSL","X5MSO",19.96555125
"462","SQ1","C","GSL","Butenyl",394.03865375
"463","SQ1","C","GSL","X3MT",2.73253375
