"","Population","mf","Elevation","X3MSO_C","X3MSO_CW","OHAlkenyl_C","OHAlkenyl_CW","X4MSO_C","X4MSO_CW","Allyl_C","Allyl_CW","X5MSO_C","X5MSO_CW","Butenyl_C","Butenyl_CW","X3MT_C","X3MT_CW","MSOO_C","MSOO_CW","OHI3M_C","OHI3M_CW","X4MT_C","X4MT_CW","I3M_C","I3M_CW","Indole_C","Indole_CW","totalaliphatic_C","totalaliphatic_CW","totalindole_C","totalindole_CW","totalGSL_C","totalGSL_CW"
"68","TM2",4,379.1526973,0,0,0,0,0,0,68.07956,0,0,0,354.73969,442.77219,12.11014,0,0,0,0,0,7.33754,10.25578,0,11.8741,20.99249,49.16248,442.26693,453.02797,20.99249,61.03658,463.25942,514.06455
"69","TM2",5,379.1526973,15.18536,0,0,0,0,0,106.26087,168.49442,0,0,674.63892,458.70181,76.06673,12.6022,0,0,0,23.53554,8.4068,10.9399,45.84792,39.56096,9.34602,0,880.55868,650.73833,55.19394,63.0965,935.75262,713.83483
"70","TM2",6,379.1526973,28.92895,0,0,0,0,0,286.65445,662.06891,0,19.51532,20.02888,0,89.06741,0,0,0,0,0,0,0,0,21.76685,0,63.04531,424.67969,681.58423,0,84.81216,424.67969,766.39639
"71","TM2",7,379.1526973,0,0,0,0,20.96597,65.694515,0,46.472525,0,18.34035,666.88116,447.57564,0,8.21057,32.77559,0,0,0,0,18.871055,0,31.52604,10.13019,24.92167,720.62272,605.164655,10.13019,56.44771,730.75291,661.612365
"72","TM2",9,379.1526973,0,0,0,0,39.562665,24.28499,6.130125,71.87613,9.190275,0,507.999775,465.08566,0,28.85888,28.813885,0,0,127.5673,0,31.25725,16.647995,22.02597,74.573175,0,591.696725,621.36291,91.22117,149.59327,682.917895,770.95618
"73","TM2",10,379.1526973,48.03829,0,0,0,40.8866,0,143.43022,184.92499,0,0,300.46194,467.20676,0,12.94427,0,0,15.70026,45.22648,0,8.26966,24.97082,19.06431,0,6.78868,532.81705,673.34568,40.67108,71.07947,573.48813,744.42515
"74","TM2",11,379.1526973,35.386845,0,0,0,48.677745,0,284.251235,269.796155,0,9.67337,564.30081,269.8107,12.93435,11.66863,53.73855,85.46634,16.716385,0,10.752365,13.708055,47.76371,250.442415,47.253045,21.532155,1010.0419,660.12325,111.73314,271.97457,1121.77504,932.09782
"75","WL1",2,1613.837245,0,24.61815,197.08757,0,0,0,17.34886,117.79003,0,0,638.68549,461.59506,0,79.61486,0,0,0,0,0,0,52.61631,0,35.18685,14.191,853.12192,683.6181,87.80316,14.191,940.92508,697.8091
"76","WL1",9,1613.837245,0,0,47.43738,87.17975,0,0,12.07771,0,0,19.770575,1079.81763,856.363555,0,0,0,3.62338,0,0,0,0,42.06924,123.364365,54.38713,4.191005,1139.33272,966.93726,96.45637,127.55537,1235.78909,1094.49263
"77","WL1",11,1613.837245,0,0,21.76838,208.3349,0,0,404.249665,31.59771,0,39.38322,223.55757,1385.17761,7.0667,0,0,0,0,7.92084,0,15.64503,10.111645,194.74316,85.39969,0,656.642315,1680.13847,95.511335,202.664,752.15365,1882.80247
"78","WL2",1,2020.115818,0,0,129.10197,0,0,44.27076,0,17.25258,14.13412,0,630.24976,146.90495,0,0,0,34.13763,0,0,0,62.79377,69.08279,0,6.63065,29.74275,773.48585,305.35969,75.71344,29.74275,849.19929,335.10244
"79","WL2",10,2020.115818,0,0,50.922505,138.22919,20.889365,49.04897,0,11.14028,5.393745,0,495.563645,190.21606,0,0,0,0,0,0,0,22.19391,23.157515,286.64935,5.185735,0,572.76926,410.82841,28.34325,286.64935,601.11251,697.47776
"80","WL2",11,2020.115818,0,28.391025,38.957735,82.33399,70.33969,44.79641,7.562755,24.60906,0,21.80582,514.89772,283.71192,0,13.78,46.11225,0,0,0,7.678125,4.63635,42.061035,62.75921,21.186165,26.224585,685.548275,504.064575,63.2472,88.983795,748.795475,593.04837
"81","WL2",12,2020.115818,0,0,73.22379,90.1351,0,0,0,16.15734,0,14.50384,469.9339,658.7818,0,0,0,0,0,0,0,20.96882,30.21982,104.72943,9.75975,0,543.15769,800.5469,39.97957,104.72943,583.13726,905.27633
"82","WL3",1,2137.762877,0,0,0,0,0,78.79494,58.73165,0,0,26.85981,280.0354,1023.58588,13.85468,0,10.02432,71.50494,0,0,9.65252,35.35194,0,40.50755,14.72027,73.94879,372.29857,1236.09751,14.72027,114.45634,387.01884,1350.55385
"83","WL3",14,2137.762877,8.83939,0,0,224.06863,33.13004,35.42372,43.59981,13.48699,12.807465,11.55882,468.922745,442.8111,13.253905,0,5.12539,0,0,0,15.96515,0,31.85768,396.36249,41.64962,9.57318,601.643895,727.34926,73.5073,405.93567,675.151195,1133.28493
"84","YO10",5,2968.302347,0,0,0,0,0,14.76747,156.531715,18.96481,0,0,633.72211,760.782255,8.64142,14.02397,19.94497,0,0,4.91581,5.97467,28.134585,103.40667,54.064205,54.70106,43.983435,824.814885,836.67309,158.10773,102.96345,982.922615,939.63654
"85","YOSE8",1,2590.97836,125.41475,44.99855,0,0,0,0,430.68674,253.67984,0,0,0,41.04061,115.58228,0,0,87.95624,0,0,0,11.72419,12.06741,15.67885,14.24169,7.914,671.68377,439.39943,26.3091,23.59285,697.99287,462.99228
"86","YOSE8",5,2590.97836,41.83135,0,0,0,17.107135,24.617865,145.82444,5.99046,0,7.87498,220.78195,462.61821,36.390825,0,0,12.366485,0,0,7.607175,9.156515,15.63132,95.79354,72.566765,5.689085,469.542875,522.624515,88.198085,101.482625,557.74096,624.10714
