Run Index,Plate,Directory,SampleName,Plate Position,Rack,Location,leaf_type,3MSO_5.2,OH-Alkenyl_6,4MSO_7.1,Allyl_7.4,5MSO_10.2,Butenyl_12.1,Junk_13,3MT_13.6,MSOO_13.8,OH I3M_15.1,4MT _15.5,Flavonol_16.1,I3M_16.7,Flavonol_17.5,Flavonol_18.5,Junk_18.7,Indole_18.8
132,7,133-P2-D5-251.D,NA,P2-D-05,,,,,,113.35982,,17.74748,798.65326,,37.71737,,,790.01398,47.21321,,35.55,342.34061,,
133,7,134-P2-E5-252.D,NA,P2-E-05,,,,229.68022,40.9502,,1164.45862,,32.35412,,322.77228,,,19.85819,38.53722,19.56881,,707.44897,,
134,7,135-P2-F5-253.D,NA,P2-F-05,,,,,526.79938,230.85538,,48.85487,203.56601,,,13.76705,26.749,321.87842,88.60345,8.81182,12.68455,1067.0271,,74.53007
135,7,136-P2-G5-254.D,NA,P2-G-05,,,,,,37.77143,,75.77133,2628.95093,22.54305,,31.20306,,2426.11353,55.41953,,64.11378,332.34946,,
136,7,137-P2-H5-255.D,NA,P2-H-05,,,,,400.84479,88.04985,,20.14656,324.17661,,,,,,114.68086,,,478.93649,,46.55656
137,7,138-P2-A6-256.D,NA,P2-A-06,,,,,65.86676,162.02498,150.99669,35.44216,4024.26392,30.07528,9.85505,14.31249,,2056.39404,37.55586,,47.19048,223.17792,,
138,7,139-P2-B6-257.D,NA,P2-B-06,,,,56.66895,52.53865,47.01365,835.77203,,3913.71948,23.09858,15.67496,,,58.29144,134.27115,,13.09601,482.40063,,
139,7,140-P2-C6-258.D,NA,P2-C-06,,,,,,28.10745,,28.04677,2486.69824,16.44889,,249.06425,,3254.21191,48.67334,,67.26685,310.0871,,
140,7,141-P2-D6-259.D,NA,P2-D-06,,,,,1151.22253,151.62921,,20.37216,105.55286,,,,,21.85201,27.05423,,12.76283,154.4165,,
141,7,142-P2-E6-260.D,NA,P2-E-06,,,,65.7506,29.78191,,2122.64771,,17.28935,,3533.49536,,,71.11092,48.83094,102.01293,,544.38458,,30.18088
142,7,143-P2-F6-261.D,NA,P2-F-06,,,,,,71.20037,,34.82296,387.36563,,,,,253.90155,44.96938,,,261.24893,,
143,7,144-P2-G6-262.D,NA,P2-G-06,,,,,,,184.45645,,5173.6084,52.95839,,,,26.78763,48.66295,,,449.59467,,
144,7,145-P2-H6-263.D,NA,P2-H-06,,,,,,,105.43096,,1188.16846,,,,,85.66705,8.79832,,,173.78157,,
145,7,146-P2-A7-264.D,NA,P2-A-07,,,,,20.67204,26.59202,,11.46413,832.85474,,,,,1911.27588,53.53623,,87.27417,563.54645,,
146,7,147-P2-B7-265.D,NA,P2-B-07,,,,,,,,,152.08173,,,26.97701,,,16.62216,,,252.20657,,
147,7,148-P2-C7-266.D,NA,P2-C-07,,,,,,15.5444,84.7244,,2101.73291,11.9858,,32.54356,,525.61072,30.02797,,13.62591,338.66455,,
148,7,149-P2-D7-267.D,NA,P2-D-07,,,,72.36919,,,457.51147,,,,290.26083,,,10.65881,25.33065,,8.77054,194.29533,,
149,7,150-P2-E7-268.D,NA,P2-E-07,,,,73.76461,,,247.69669,,16.01921,,940.30206,,,20.0449,31.7701,30.35951,,314.41522,,
150,7,151-P2-F7-269.D,NA,P2-F-07,,,,,,,486.32947,,6979.32129,72.62254,,21.36374,,30.83916,110.02293,,,485.43024,,
151,7,152-P2-G7-270.D,NA,P2-G-07,,,,,33.01487,,,,141.53249,,,,,,25.38548,,,278.07556,,
152,7,153-P2-H7-271.D,NA,P2-H-07,,,,,,184.53377,,98.95306,4040.77759,32.63839,,38.54179,50.0877,399.59805,114.39394,,,157.42148,,
153,7,154-P2-A8-272.D,NA,P2-A-08,,,,1375.56689,144.12248,,3351.51758,19.36586,54.4383,,1997.47217,,,74.77064,24.22747,59.16786,,226.78384,,
154,7,155-P2-B8-273.D,NA,P2-B-08,,,,,,51.37539,,,639.72894,,,,,1504.73376,23.57597,,33.9396,139.27188,,
155,7,156-P2-C8-274.D,NA,P2-C-08,,,,,60.83343,80.61371,,,432.33188,,,,,,64.93511,,,123.30196,,
156,7,157-P2-D8-275.D,NA,P2-D-08,,,,,307.27585,84.56726,,23.80318,149.85774,,,,,1264.8197,30.73359,,24.89487,444.84009,,9.63078
157,7,158-P2-E8-276.D,NA,P2-E-08,,,,,,203.1003,,58.96339,1784.7865,13.43351,,,,47.84126,22.23043,,,93.7051,,
158,7,159-P2-F8-277.D,NA,P2-F-08,,,,,,13.00716,,,150.15553,,,,,66.64495,24.57215,,,241.33917,,
159,7,160-P2-G8-278.D,NA,P2-G-08,,,,,100.79136,66.01641,,,94.88297,,,,,957.20367,74.02172,,26.38512,598.74445,,
160,7,161-P2-H8-279.D,NA,P2-H-08,,,,112.33988,,,1561.41553,,25.11695,,1694.698,,,36.71055,81.67296,54.70173,,594.24506,,
161,7,162-P2-A9-280.D,NA,P2-A-09,,,,,376.14999,192.16928,,,676.19836,,,,,728.10663,18.63522,,,308.21115,,
162,7,163-P2-B9-281.D,NA,P2-B-09,,,,,20.61798,,,,109.94114,,,,,,63.71815,,,489.86969,,
163,7,164-P2-C9-282.D,NA,P2-C-09,,,,,,18.42523,73.73894,,6909.65918,44.41096,,30.94997,31.42721,111.88687,64.98155,,8.15012,353.40256,,
164,7,165-P2-D9-283.D,NA,P2-D-09,,,,,,,65.01656,,496.24094,,21.47207,,,205.2639,19.98258,,,233.02077,,7.54759
165,7,166-P2-E9-284.D,NA,P2-E-09,,,,,,15.64471,19.55438,16.4655,1788.3396,16.69989,,167.90208,,233.83313,58.25587,,,338.13443,,15.97684
166,7,167-P2-F9-285.D,NA,P2-F-09,,,,33.8055,103.48533,43.60081,27.34989,,152.29779,,28.32128,22.66253,,902.55768,31.41994,,,579.42737,,
167,7,168-P2-G9-286.D,NA,P2-G-09,,,,,,45.78228,,17.43858,672.17627,,,,,1868.09399,41.23958,,43.61379,552.20483,,
